timestamp_ns,phase,fragment,neurons_active,cpu_ns,ink_pixels,total_pixels,ink_ratio,merkle_prefix
1771966789753459576,train,1823626595,2323423,2771210601,51200,102400,0.50000000,00b34100d8672321
1771966792804499978,train,1825838007,2661019,2766604610,51200,102400,0.50000000,c3b3a6517215a6a0
1771966795823565114,train,1834183371,1609735,2751451009,51200,102400,0.50000000,569f2a8b6dd8aa32
1771966798842752851,train,1837890067,2989161,2747093758,51200,102400,0.50000000,4ed7b1cd57e171ea
1771966801868015461,train,1842921029,3044499,2745540839,51200,102400,0.50000000,091dae7637b9ff6e
1771966804937374578,train,1845578058,2972522,2751158794,51200,102400,0.50000000,41c49b6a6bb29dc8
1771966806659227729,train,1851560107,2783333,1551446741,32768,65536,0.50000000,d01c190b49c9c15a
1771966809691783450,train,185176123,3075404,2749442963,51200,102400,0.50000000,cc77dc9c6ac81ab3
1771966812718453990,train,1853493924,1257716,2751910915,51200,102400,0.50000000,c00805e7e4efe068
1771966815732477051,train,1858247918,2956911,2727984956,51201,102400,0.50000977,4c4eb916f1123fa4
1771966818765086126,train,1866627733,2972161,2760189475,51200,102400,0.50000000,e7989beefa0347c9
1771966821831606060,train,1871106040,1517109,2793123903,51200,102400,0.50000000,3b6c932753a995bf
1771966824910843507,train,1876224755,2530502,2768777078,51200,102400,0.50000000,0033d5aa03dcf54a
1771966828157351225,train,1878959347,2498416,2753194571,51200,102400,0.50000000,421858d6ccd9c405
1771966831208868984,train,1881495000,2589413,2773382849,51200,102400,0.50000000,6d2b4f78e984ae49
1771966834259777774,train,1882650170,3902548,2776566146,51200,102400,0.50000000,b81c6de3d0fe3efc
1771966837310018886,train,1890221621,2801806,2762434997,51200,102400,0.50000000,567bac3a8d918a18
1771966840348073695,train,1890409640,3051569,2753934021,51200,102400,0.50000000,224afaa4e3d3617a
1771966843390981909,train,1891372224,2308083,2751507109,51200,102400,0.50000000,21a8443b8f0f7862
1771966846447069615,train,1914571029,2891528,2760309316,51200,102400,0.50000000,6fd7dc90607095b4
1771966849479975317,train,1923436243,2788933,2738766184,51200,102400,0.50000000,1e2edd9494a5d959
1771966852528945111,train,1927075549,2971554,2766487970,51200,102400,0.50000000,26a2ef1ddc97d221
1771966855560967154,train,193365288,2952634,2760087392,51200,102400,0.50000000,c60d106804d7850e
1771966858626122158,train,1939536631,2751373,2758646345,51200,102400,0.50000000,21f7b5f44b5de642
1771966861669954184,train,1960540938,3220286,2765112071,51200,102400,0.50000000,bc447d7946d19035
1771966864754065574,train,1961113613,3226482,2794916894,51200,102400,0.50000000,c81c0989a5c7ad27
1771966867772339977,train,1963069058,4256004,2744940267,51200,102400,0.50000000,8d7ed6544deaa09b
1771966870803175261,train,1966171058,1926614,2742864225,51200,102400,0.50000000,5d5a0b1af2b5dce1
1771966873869920875,train,196724516,2619755,2780582519,51200,102400,0.50000000,11b18f272ff68964
1771966876906227584,train,1967300661,3460955,2754198767,51200,102400,0.50000000,a8924921c724375e
1771966879950691568,train,19797301,1625599,2769406903,51200,102400,0.50000000,d2e51e155b530c84
1771966883003602387,train,1985075117,2857130,2763104041,51200,102400,0.50000000,67e47cddd9b3f341
1771966886065687591,train,1996567865,2403951,2773690103,51200,102400,0.50000000,9aa74e0c3c1bdbb6
1771966889121014420,train,2003263496,4222296,2768785614,51200,102400,0.50000000,3af541ed5a61dbea
1771966892195393695,train,2004658464,2901705,2771551626,51200,102400,0.50000000,120f75188fc2ac51
1771966895281378696,train,2007080007,2704279,2783862915,51200,102400,0.50000000,34378bbe7a90cda7
1771966898305124388,train,2012359760,2825285,2746724102,51200,102400,0.50000000,0ba8e6de9b85fad4
1771966901361530176,train,2018034763,2208103,2757246113,51200,102400,0.50000000,a025ee955993b8d0
1771966904416688294,train,2021834463,3783032,2765310411,51200,102400,0.50000000,7bd6dd91aff738ea
1771966907461302708,train,2024572193,2753122,2759263577,51200,102400,0.50000000,cfd79c12369e0e3a
1771966910509389081,train,2035810630,2984189,2752485301,51200,102400,0.50000000,d08c5f55f4d3d16d
